defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level,year,month,month_name,quarter,supplier_quality_risk
DEF-00211,2024-10-20,Prime Hardware,Detroit Plant,Raw Materials,No Impact,1160,290,High,2024,10,October,Q4,Normal Risk
DEF-00212,2024-08-15,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Rework,2775,553,High,2024,8,August,Q3,High Risk
DEF-00213,2024-07-15,Alpha Industrial Supplies,Troy Plant,Corrugate,Rework,414,108,Low,2024,7,July,Q3,Normal Risk
DEF-00214,2024-11-11,NexGen Maintenance,Atlanta Plant,Hardware,Impact,4884,456,High,2024,11,November,Q4,High Risk
DEF-00215,2024-08-26,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,4371,80,Low,2024,8,August,Q3,High Risk
DEF-00216,2024-12-16,Vertex Components,Toronto Plant,Packaging,Impact,3733,317,Low,2024,12,December,Q4,High Risk
DEF-00217,2024-07-19,Metro Logistics,Atlanta Plant,Hardware,Rework,2114,372,Medium,2024,7,July,Q3,High Risk
DEF-00218,2024-08-31,Global Parts Co,Atlanta Plant,Corrugate,Rework,248,66,Low,2024,8,August,Q3,Normal Risk
DEF-00219,2024-11-05,Omega Office Supplies,Detroit Plant,Machine Parts,Rejected,2313,356,Medium,2024,11,November,Q4,High Risk
DEF-00220,2024-10-11,Global Parts Co,Atlanta Plant,Machine Parts,Rework,877,333,Medium,2024,10,October,Q4,High Risk
DEF-00221,2024-05-02,Omega Office Supplies,Detroit Plant,Machine Parts,Impact,4838,423,Medium,2024,5,May,Q2,High Risk
DEF-00222,2024-06-23,Prime Hardware,Mexico City Plant,Corrugate,Rework,3145,67,High,2024,6,June,Q2,High Risk
DEF-00223,2024-12-21,Prime Hardware,Detroit Plant,Raw Materials,Rework,2804,557,Low,2024,12,December,Q4,High Risk
DEF-00224,2024-06-15,Rapid Freight,Troy Plant,Corrugate,Impact,4852,474,Medium,2024,6,June,Q2,High Risk
DEF-00225,2024-11-02,Global Parts Co,Mexico City Plant,Corrugate,No Impact,3325,71,Medium,2024,11,November,Q4,High Risk
DEF-00226,2024-04-21,Metro Logistics,Mexico City Plant,Raw Materials,Impact,504,92,High,2024,4,April,Q2,Normal Risk
DEF-00227,2024-09-29,Summit Packaging,Toronto Plant,Machine Parts,Rework,1223,463,Low,2024,9,September,Q3,High Risk
DEF-00228,2024-06-02,Omega Office Supplies,Atlanta Plant,Corrugate,No Impact,1685,324,Low,2024,6,June,Q2,High Risk
DEF-00229,2024-11-09,Rapid Freight,Toronto Plant,Packaging,No Impact,4774,8,Low,2024,11,November,Q4,High Risk
DEF-00230,2024-01-28,Alpha Industrial Supplies,Mexico City Plant,Hardware,Rejected,3025,562,Medium,2024,1,January,Q1,High Risk
DEF-00231,2024-08-09,Omega Office Supplies,Toronto Plant,Hardware,Rework,256,240,Medium,2024,8,August,Q3,Normal Risk
DEF-00232,2024-10-06,Prime Hardware,Detroit Plant,Corrugate,Impact,3126,445,Low,2024,10,October,Q4,High Risk
DEF-00233,2024-07-03,BlueLine Services,Detroit Plant,Hardware,Impact,4551,393,Low,2024,7,July,Q3,High Risk
DEF-00234,2024-11-27,Alpha Industrial Supplies,Detroit Plant,Corrugate,Rework,96,73,Low,2024,11,November,Q4,Normal Risk
DEF-00235,2024-11-24,BlueLine Services,Toronto Plant,Machine Parts,Rework,694,140,High,2024,11,November,Q4,Normal Risk
DEF-00236,2024-09-17,BlueLine Services,Mexico City Plant,Corrugate,Rework,1473,465,Medium,2024,9,September,Q3,High Risk
DEF-00237,2024-08-05,Omega Office Supplies,Troy Plant,Machine Parts,Rework,1850,190,High,2024,8,August,Q3,Normal Risk
DEF-00238,2024-05-17,BlueLine Services,Mexico City Plant,Machine Parts,No Impact,1940,513,Low,2024,5,May,Q2,High Risk
DEF-00239,2024-09-04,NexGen Maintenance,Troy Plant,Machine Parts,Rework,311,581,High,2024,9,September,Q3,High Risk
DEF-00240,2024-09-26,Summit Packaging,Toronto Plant,Machine Parts,Rejected,656,145,High,2024,9,September,Q3,Normal Risk
DEF-00241,2024-05-05,Vertex Components,Troy Plant,Machine Parts,No Impact,4998,90,High,2024,5,May,Q2,High Risk
DEF-00242,2024-09-30,Alpha Industrial Supplies,Toronto Plant,Corrugate,Rework,433,351,High,2024,9,September,Q3,High Risk
DEF-00243,2024-06-29,Summit Packaging,Atlanta Plant,Packaging,Rejected,2716,431,High,2024,6,June,Q2,High Risk
DEF-00244,2024-10-15,Summit Packaging,Troy Plant,Corrugate,Impact,4896,311,High,2024,10,October,Q4,High Risk
DEF-00245,2024-11-15,Alpha Industrial Supplies,Atlanta Plant,Corrugate,Rejected,423,298,Low,2024,11,November,Q4,Normal Risk
DEF-00246,2024-05-22,Summit Packaging,Detroit Plant,Machine Parts,No Impact,4142,78,Medium,2024,5,May,Q2,High Risk
DEF-00247,2024-02-27,Omega Office Supplies,Detroit Plant,Machine Parts,Impact,2105,14,High,2024,2,February,Q1,Normal Risk
DEF-00248,2024-03-30,Summit Packaging,Detroit Plant,Corrugate,Impact,3659,378,High,2024,3,March,Q1,High Risk
DEF-00249,2024-02-13,Metro Logistics,Mexico City Plant,Packaging,Rework,272,351,Medium,2024,2,February,Q1,High Risk
DEF-00250,2024-12-04,Vertex Components,Detroit Plant,Packaging,No Impact,3139,243,Low,2024,12,December,Q4,High Risk
DEF-00251,2024-01-27,Metro Logistics,Toronto Plant,Corrugate,Rework,2166,118,Medium,2024,1,January,Q1,Normal Risk
DEF-00252,2024-04-29,BlueLine Services,Toronto Plant,Corrugate,No Impact,3902,545,Low,2024,4,April,Q2,High Risk
DEF-00253,2024-01-07,Summit Packaging,Toronto Plant,Corrugate,No Impact,4346,445,High,2024,1,January,Q1,High Risk
DEF-00254,2024-09-29,NexGen Maintenance,Toronto Plant,Machine Parts,No Impact,337,99,Medium,2024,9,September,Q3,Normal Risk
DEF-00255,2024-02-20,Summit Packaging,Mexico City Plant,Corrugate,Rework,2215,273,High,2024,2,February,Q1,Normal Risk
DEF-00256,2024-09-23,NexGen Maintenance,Detroit Plant,Hardware,Rejected,1981,199,High,2024,9,September,Q3,Normal Risk
DEF-00257,2024-01-07,BlueLine Services,Troy Plant,Machine Parts,Rejected,70,69,High,2024,1,January,Q1,Normal Risk
DEF-00258,2024-04-22,Summit Packaging,Atlanta Plant,Packaging,Rejected,3654,359,Low,2024,4,April,Q2,High Risk
DEF-00259,2024-10-31,Prime Hardware,Mexico City Plant,Raw Materials,Rejected,754,58,Low,2024,10,October,Q4,Normal Risk
DEF-00260,2024-07-11,Omega Office Supplies,Detroit Plant,Raw Materials,Impact,4954,133,Medium,2024,7,July,Q3,High Risk
DEF-00261,2024-12-04,Global Parts Co,Toronto Plant,Hardware,Rework,2414,478,High,2024,12,December,Q4,High Risk
DEF-00262,2024-03-23,Global Parts Co,Atlanta Plant,Raw Materials,Rework,2650,263,Medium,2024,3,March,Q1,Normal Risk
DEF-00263,2024-05-12,Summit Packaging,Detroit Plant,Corrugate,Rejected,2726,61,Medium,2024,5,May,Q2,Normal Risk
DEF-00264,2024-04-01,Vertex Components,Troy Plant,Packaging,Rework,1644,402,Low,2024,4,April,Q2,High Risk
DEF-00265,2024-05-12,Global Parts Co,Troy Plant,Raw Materials,Rejected,871,452,High,2024,5,May,Q2,High Risk
DEF-00266,2024-01-10,Vertex Components,Detroit Plant,Raw Materials,Rejected,2053,456,High,2024,1,January,Q1,High Risk
DEF-00267,2024-03-18,NexGen Maintenance,Toronto Plant,Machine Parts,Rejected,3199,272,High,2024,3,March,Q1,High Risk
DEF-00268,2024-08-11,BlueLine Services,Troy Plant,Machine Parts,Impact,4020,489,Low,2024,8,August,Q3,High Risk
DEF-00269,2024-03-03,Omega Office Supplies,Mexico City Plant,Hardware,No Impact,3150,493,High,2024,3,March,Q1,High Risk
DEF-00270,2024-01-29,Global Parts Co,Atlanta Plant,Machine Parts,No Impact,2481,410,Low,2024,1,January,Q1,High Risk
DEF-00271,2024-11-27,Prime Hardware,Detroit Plant,Machine Parts,Rejected,3766,296,Medium,2024,11,November,Q4,High Risk
DEF-00272,2024-12-22,BlueLine Services,Troy Plant,Hardware,Rework,1565,306,Low,2024,12,December,Q4,High Risk
DEF-00273,2024-03-12,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Impact,3588,194,Medium,2024,3,March,Q1,High Risk
DEF-00274,2024-10-03,Summit Packaging,Toronto Plant,Machine Parts,Rework,3185,64,Low,2024,10,October,Q4,High Risk
DEF-00275,2024-01-29,NexGen Maintenance,Troy Plant,Corrugate,Rejected,304,347,Low,2024,1,January,Q1,High Risk
DEF-00276,2024-12-13,Rapid Freight,Detroit Plant,Machine Parts,Impact,4286,469,Low,2024,12,December,Q4,High Risk
DEF-00277,2024-09-07,Alpha Industrial Supplies,Toronto Plant,Machine Parts,Rejected,303,144,Low,2024,9,September,Q3,Normal Risk
DEF-00278,2024-03-29,Alpha Industrial Supplies,Atlanta Plant,Raw Materials,Rework,1070,14,High,2024,3,March,Q1,Normal Risk
DEF-00279,2024-02-24,Global Parts Co,Toronto Plant,Machine Parts,Impact,1399,65,Low,2024,2,February,Q1,Normal Risk
DEF-00280,2024-06-21,BlueLine Services,Atlanta Plant,Raw Materials,Impact,1661,436,Medium,2024,6,June,Q2,High Risk
DEF-00281,2024-10-30,Metro Logistics,Atlanta Plant,Raw Materials,Rejected,1747,46,Medium,2024,10,October,Q4,Normal Risk
DEF-00282,2024-03-27,NexGen Maintenance,Mexico City Plant,Packaging,Rework,1158,425,Low,2024,3,March,Q1,High Risk
DEF-00283,2024-03-09,Global Parts Co,Mexico City Plant,Corrugate,Impact,4768,41,Low,2024,3,March,Q1,High Risk
DEF-00284,2024-01-04,Alpha Industrial Supplies,Detroit Plant,Raw Materials,No Impact,3990,82,Medium,2024,1,January,Q1,High Risk
DEF-00285,2024-04-15,Metro Logistics,Atlanta Plant,Machine Parts,Rework,3900,129,Medium,2024,4,April,Q2,High Risk
DEF-00286,2024-11-08,Alpha Industrial Supplies,Mexico City Plant,Packaging,Rework,1960,178,High,2024,11,November,Q4,Normal Risk
DEF-00287,2024-06-27,BlueLine Services,Troy Plant,Machine Parts,Impact,722,308,Low,2024,6,June,Q2,High Risk
DEF-00288,2024-02-18,Omega Office Supplies,Atlanta Plant,Machine Parts,Impact,963,542,Medium,2024,2,February,Q1,High Risk
DEF-00289,2024-01-28,Prime Hardware,Troy Plant,Packaging,Rework,1705,283,Medium,2024,1,January,Q1,Normal Risk
DEF-00290,2024-12-09,Alpha Industrial Supplies,Troy Plant,Hardware,No Impact,1445,163,Low,2024,12,December,Q4,Normal Risk
DEF-00291,2024-06-20,Omega Office Supplies,Toronto Plant,Raw Materials,Rejected,3561,257,High,2024,6,June,Q2,High Risk
DEF-00292,2024-03-31,Metro Logistics,Troy Plant,Corrugate,Rejected,430,550,Low,2024,3,March,Q1,High Risk
DEF-00293,2024-10-30,Omega Office Supplies,Atlanta Plant,Corrugate,Impact,1928,455,High,2024,10,October,Q4,High Risk
DEF-00294,2024-02-26,NexGen Maintenance,Detroit Plant,Raw Materials,Impact,2669,235,High,2024,2,February,Q1,Normal Risk
DEF-00295,2024-07-11,Prime Hardware,Troy Plant,Corrugate,Rework,3380,204,Low,2024,7,July,Q3,High Risk
DEF-00296,2024-04-20,Omega Office Supplies,Toronto Plant,Packaging,Rework,3571,148,Medium,2024,4,April,Q2,High Risk
DEF-00297,2024-04-09,NexGen Maintenance,Atlanta Plant,Packaging,No Impact,1118,468,Low,2024,4,April,Q2,High Risk
DEF-00298,2024-01-31,Summit Packaging,Detroit Plant,Raw Materials,Rework,263,582,Medium,2024,1,January,Q1,High Risk
DEF-00299,2024-06-24,Prime Hardware,Atlanta Plant,Machine Parts,Impact,3427,175,High,2024,6,June,Q2,High Risk
DEF-00300,2024-10-10,Prime Hardware,Troy Plant,Corrugate,Rework,1393,591,Low,2024,10,October,Q4,High Risk
