defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level
DEF-00283,2024-03-09,Global Parts Co,Mexico City Plant,Corrugate,Impact,4768,41,Low
DEF-00284,2024-01-04,Alpha Industrial Supplies,Detroit Plant,Raw Materials,No Impact,3990,82,Medium
DEF-00285,2024-04-15,Metro Logistics,Atlanta Plant,Machine Parts,Rework,3900,129,Medium
DEF-00286,2024-11-08,Alpha Industrial Supplies,Mexico City Plant,Packaging,Rework,1960,178,High
DEF-00287,2024-06-27,BlueLine Services,Troy Plant,Machine Parts,Impact,722,308,Low
DEF-00288,2024-02-18,Omega Office Supplies,Atlanta Plant,Machine Parts,Impact,963,542,Medium
DEF-00289,2024-01-28,Prime Hardware,Troy Plant,Packaging,Rework,1705,283,Medium
DEF-00290,2024-12-09,Alpha Industrial Supplies,Troy Plant,Hardware,No Impact,1445,163,Low
DEF-00291,2024-06-20,Omega Office Supplies,Toronto Plant,Raw Materials,Rejected,3561,257,High
DEF-00292,2024-03-31,Metro Logistics,Troy Plant,Corrugate,Rejected,430,550,Low
DEF-00293,2024-10-30,Omega Office Supplies,Atlanta Plant,Corrugate,Impact,1928,455,High
DEF-00294,2024-02-26,NexGen Maintenance,Detroit Plant,Raw Materials,Impact,2669,235,High
DEF-00295,2024-07-11,Prime Hardware,Troy Plant,Corrugate,Rework,3380,204,Low
DEF-00296,2024-04-20,Omega Office Supplies,Toronto Plant,Packaging,Rework,3571,148,Medium
DEF-00297,2024-04-09,NexGen Maintenance,Atlanta Plant,Packaging,No Impact,1118,468,Low
DEF-00298,2024-01-31,Summit Packaging,Detroit Plant,Raw Materials,Rework,263,582,Medium
DEF-00299,2024-06-24,Prime Hardware,Atlanta Plant,Machine Parts,Impact,3427,175,High
DEF-00300,2024-10-10,Prime Hardware,Troy Plant,Corrugate,Rework,1393,591,Low
